_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
233,1392974599,2014-02-21T14:53:19,26.4,57,13.00361,77.61818
234,1392974906,2014-02-21T14:58:26,26.5,57,13.00361,77.61818
235,1392975214,2014-02-21T15:03:34,26.5,57,13.00361,77.61818
236,1392975522,2014-02-21T15:08:42,26.6,56,13.00361,77.61818
237,1392975829,2014-02-21T15:13:49,26.7,56,13.00361,77.61818
238,1392976137,2014-02-21T15:18:57,27,55,13.00361,77.61818
239,1392976445,2014-02-21T15:24:05,27,55,13.00361,77.61818
240,1392976752,2014-02-21T15:29:12,27,55,13.00361,77.61818
241,1392977060,2014-02-21T15:34:20,27,54,13.00361,77.61818
242,1392977316,2014-02-21T15:38:36,27,54,13.00361,77.61818
243,1392977624,2014-02-21T15:43:44,26.9,54,13.00361,77.61818
244,1392977931,2014-02-21T15:48:51,26.9,54,13.00361,77.61818
245,1392978239,2014-02-21T15:53:59,26.9,53,13.00361,77.61818
246,1392978546,2014-02-21T15:59:06,26.9,54,13.00361,77.61818
247,1392978853,2014-02-21T16:04:13,26.9,54,13.00361,77.61818
248,1392979162,2014-02-21T16:09:22,26.9,54,13.00361,77.61818
249,1392979469,2014-02-21T16:14:29,26.9,54,13.00361,77.61818
250,1392979777,2014-02-21T16:19:37,26.9,54,13.00361,77.61818
251,1392980085,2014-02-21T16:24:45,26.9,53,13.00361,77.61818
252,1392980392,2014-02-21T16:29:52,27.1,53,13.00361,77.61818
253,1392980700,2014-02-21T16:35:00,27.1,53,13.00361,77.61818
254,1392980955,2014-02-21T16:39:15,27.1,52,13.00361,77.61818
255,1392981263,2014-02-21T16:44:23,27.1,52,13.00361,77.61818
256,1392981570,2014-02-21T16:49:30,27.1,52,13.00361,77.61818
257,1392981878,2014-02-21T16:54:38,27,52,13.00361,77.61818
258,1392982186,2014-02-21T16:59:46,27,52,13.00361,77.61818
259,1392982493,2014-02-21T17:04:53,27,52,13.00361,77.61818
260,1392982801,2014-02-21T17:10:01,26.9,52,13.00361,77.61818
261,1392983109,2014-02-21T17:15:09,26.9,52,13.00361,77.61818
262,1392983416,2014-02-21T17:20:16,26.9,52,13.00361,77.61818
263,1392983724,2014-02-21T17:25:24,26.9,52,13.00361,77.61818
264,1392984031,2014-02-21T17:30:31,26.8,53,13.00361,77.61818
265,1392984339,2014-02-21T17:35:39,26.8,53,13.00361,77.61818
266,1392984595,2014-02-21T17:39:55,26.8,53,13.00361,77.61818
267,1392984903,2014-02-21T17:45:03,26.8,54,13.00361,77.61818
268,1392985211,2014-02-21T17:50:11,26.8,54,13.00361,77.61818
269,1392985518,2014-02-21T17:55:18,26.7,53,13.00361,77.61818
270,1392985826,2014-02-21T18:00:26,26.7,53,13.00361,77.61818
